invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5_percent,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,transaction_datetime,year,month,month_name,day,day_name,hour,is_weekend,time_period,average_item_value,profit_margin_percent,transaction_value_segment,rating_segment
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07,Ewallet,57.92,4.761904762,2.896,4.5,2019-02-06 18:07:00,2019,2,February,6,Wednesday,18,False,Evening,15.2,4.76,Low,Low
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03,Cash,102.04,4.761904762,5.102,6.8,2019-03-09 17:03:00,2019,3,March,9,Saturday,17,True,Evening,26.79,4.76,Low,Medium
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,2019-02-12 10:25:00,2019,2,February,12,Tuesday,10,False,Morning,49.3,4.76,Medium,Medium
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48,Ewallet,431.9,4.761904762,21.595,8.2,2019-02-07 16:48:00,2019,2,February,7,Thursday,16,False,Afternoon,45.35,4.76,High,High
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21,Cash,713.8,4.761904762,35.69,5.7,2019-03-29 19:21:00,2019,3,March,29,Friday,19,False,Evening,74.95,4.76,High,Low
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,562.32,4.761904762,28.116,4.5,2019-01-15 16:19:00,2019,1,January,15,Tuesday,16,False,Afternoon,98.41,4.76,High,Low
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03,Credit card,482.51,4.761904762,24.1255,4.6,2019-03-11 11:03:00,2019,3,March,11,Monday,11,False,Morning,72.38,4.76,High,Low
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,435.66,4.761904762,21.783,6.9,2019-01-01 10:39:00,2019,1,January,1,Tuesday,10,False,Morning,76.24,4.76,High,Medium
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00,Credit card,164.01,4.761904762,8.2005,8.6,2019-01-21 18:00:00,2019,1,January,21,Monday,18,False,Evening,57.4,4.76,Medium,High
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30,Ewallet,80.6,4.761904762,4.03,4.4,2019-03-11 15:30:00,2019,3,March,11,Monday,15,False,Afternoon,42.32,4.76,Low,Low
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,11:24,Ewallet,430.2,4.761904762,21.51,4.8,2019-02-25 11:24:00,2019,2,February,25,Monday,11,False,Morning,90.34,4.76,High,Low
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05,10:40,Ewallet,263.94,4.761904762,13.197,5.1,2019-03-05 10:40:00,2019,3,March,5,Tuesday,10,False,Morning,92.38,4.76,Medium,Low
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,12:20,Credit card,66.4,4.761904762,3.32,4.4,2019-03-15 12:20:00,2019,3,March,15,Friday,12,False,Afternoon,34.86,4.76,Low,Low
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,11:15,Ewallet,172.8,4.761904762,8.64,9.9,2019-02-17 11:15:00,2019,2,February,17,Sunday,11,True,Morning,36.29,4.76,Medium,High
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,2019-03-02 17:36:00,2019,3,March,2,Saturday,17,True,Evening,93.06,4.76,Medium,Low
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22,19:20,Credit card,420.72,4.761904762,21.036,8.5,2019-03-22 19:20:00,2019,3,March,22,Friday,19,False,Evening,55.22,4.76,High,High
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08,15:31,Cash,33.52,4.761904762,1.676,6.7,2019-02-08 15:31:00,2019,2,February,8,Friday,15,False,Afternoon,35.2,4.76,Low,Medium
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2019-03-10,12:17,Credit card,175.34,4.761904762,8.767,7.7,2019-03-10 12:17:00,2019,3,March,10,Sunday,12,True,Afternoon,92.05,4.76,Medium,Medium
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2019-01-25,19:48,Cash,441.8,4.761904762,22.09,9.6,2019-01-25 19:48:00,2019,1,January,25,Friday,19,False,Evening,92.78,4.76,High,High
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2019-03-15,15:36,Cash,224.01,4.761904762,11.2005,7.4,2019-03-15 15:36:00,2019,3,March,15,Friday,15,False,Afternoon,26.13,4.76,Medium,Medium
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2019-02-25,19:39,Credit card,470.65,4.761904762,23.5325,4.8,2019-02-25 19:39:00,2019,2,February,25,Monday,19,False,Evening,98.84,4.76,High,Low
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2019-01-28,12:43,Cash,702.63,4.761904762,35.1315,4.5,2019-01-28 12:43:00,2019,1,January,28,Monday,12,False,Afternoon,81.97,4.76,High,Low
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,Cash,670.24,4.761904762,33.512,5.1,2019-01-10 14:49:00,2019,1,January,10,Thursday,14,False,Afternoon,87.97,4.76,High,Low
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2019-03-15,10:12,Credit card,193.16,4.761904762,9.658,5.1,2019-03-15 10:12:00,2019,3,March,15,Friday,10,False,Morning,101.41,4.76,Medium,Low
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2019-02-06,10:42,Ewallet,397.68,4.761904762,19.884,7.5,2019-02-06 10:42:00,2019,2,February,6,Wednesday,10,False,Morning,104.39,4.76,High,Medium
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2019-01-07,12:28,Ewallet,68.12,4.761904762,3.406,6.8,2019-01-07 12:28:00,2019,1,January,7,Monday,12,False,Afternoon,71.53,4.76,Low,Medium
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2019-03-10,19:15,Ewallet,313.1,4.761904762,15.655,7.0,2019-03-10 19:15:00,2019,3,March,10,Sunday,19,True,Evening,65.75,4.76,Medium,Medium
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17,Ewallet,547.92,4.761904762,27.396,4.7,2019-01-15 17:17:00,2019,1,January,15,Tuesday,17,False,Evening,63.92,4.76,High,Low
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2019-03-23,13:24,Ewallet,439.36,4.761904762,21.968,7.6,2019-03-23 13:24:00,2019,3,March,23,Saturday,13,True,Afternoon,57.67,4.76,High,Medium
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2019-03-03,13:01,Cash,240.96,4.761904762,12.048,7.7,2019-03-03 13:01:00,2019,3,March,3,Sunday,13,True,Afternoon,31.63,4.76,Medium,Medium
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,86.72,4.761904762,4.336,7.9,2019-01-17 18:45:00,2019,1,January,17,Thursday,18,False,Evening,91.06,4.76,Low,Medium
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2019-02-02,10:11,Cash,112.22,4.761904762,5.611,6.3,2019-02-02 10:11:00,2019,2,February,2,Saturday,10,True,Morning,58.92,4.76,Low,Medium
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2019-02-08,13:03,Cash,414.72,4.761904762,20.736,5.6,2019-02-08 13:03:00,2019,2,February,8,Friday,13,False,Afternoon,72.58,4.76,High,Low
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-03-04,20:39,Cash,789.6,4.761904762,39.48,7.6,2019-03-04 20:39:00,2019,3,March,4,Monday,20,False,Evening,103.64,4.76,High,Medium
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2019-03-16,19:47,Cash,30.74,4.761904762,1.537,7.2,2019-03-16 19:47:00,2019,3,March,16,Saturday,19,True,Evening,16.14,4.76,Low,Medium
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2019-03-09,18:00,Cash,375.84,4.761904762,18.792,9.5,2019-03-09 18:00:00,2019,3,March,9,Saturday,18,True,Evening,98.66,4.76,High,High
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2019-02-27,17:24,Credit card,510.21,4.761904762,25.5105,8.4,2019-02-27 17:24:00,2019,2,February,27,Wednesday,17,False,Evening,59.52,4.76,High,High
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2019-02-06,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,2019-02-06 15:47:00,2019,2,February,6,Wednesday,15,False,Afternoon,21.01,4.76,Medium,Low
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2019-02-10,12:45,Credit card,113.58,4.761904762,5.679,8.1,2019-02-10 12:45:00,2019,2,February,10,Sunday,12,True,Afternoon,19.88,4.76,Low,High
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2019-03-19,17:08,Ewallet,826.3,4.761904762,41.315,7.9,2019-03-19 17:08:00,2019,3,March,19,Tuesday,17,False,Evening,86.76,4.76,High,Medium
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-02-03,10:19,Cash,639.8,4.761904762,31.99,9.5,2019-02-03 10:19:00,2019,2,February,3,Sunday,10,True,Morning,95.97,4.76,High,High
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2019-02-10,15:10,Cash,222.95,4.761904762,11.1475,8.5,2019-02-10 15:10:00,2019,2,February,10,Sunday,15,True,Afternoon,46.82,4.76,Medium,High
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2019-03-22,14:42,Ewallet,71.48,4.761904762,3.574,6.5,2019-03-22 14:42:00,2019,3,March,22,Friday,14,False,Afternoon,18.76,4.76,Low,Medium
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2019-01-25,15:46,Credit card,15.43,4.761904762,0.7715,6.1,2019-01-25 15:46:00,2019,1,January,25,Friday,15,False,Afternoon,16.2,4.76,Low,Medium
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2019-03-07,11:49,Ewallet,32.32,4.761904762,1.616,6.5,2019-03-07 11:49:00,2019,3,March,7,Thursday,11,False,Morning,16.97,4.76,Low,Medium
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2019-02-28,19:01,Cash,687.84,4.761904762,34.392,8.2,2019-02-28 19:01:00,2019,2,February,28,Thursday,19,False,Evening,90.28,4.76,High,High
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2019-03-27,11:26,Cash,88.68,4.761904762,4.434,5.8,2019-03-27 11:26:00,2019,3,March,27,Wednesday,11,False,Morning,46.56,4.76,Low,Low
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-02-07,11:28,Ewallet,716.8,4.761904762,35.84,6.6,2019-02-07 11:28:00,2019,2,February,7,Thursday,11,False,Morning,94.08,4.76,High,Medium
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2019-01-20,15:55,Cash,723.5,4.761904762,36.175,5.4,2019-01-20 15:55:00,2019,1,January,20,Sunday,15,True,Afternoon,75.97,4.76,High,Low
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2019-03-12,20:36,Cash,183.66,4.761904762,9.183,9.3,2019-03-12 20:36:00,2019,3,March,12,Tuesday,20,False,Evening,32.14,4.76,Medium,High
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2019-02-15,17:47,Credit card,74.22,4.761904762,3.711,7.0,2019-02-15 17:47:00,2019,2,February,15,Friday,17,False,Evening,25.98,4.76,Low,Medium
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2019-02-24,10:55,Ewallet,334.38,4.761904762,16.719,7.0,2019-02-24 10:55:00,2019,2,February,24,Sunday,10,True,Morning,58.52,4.76,Medium,Medium
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2019-02-03,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,2019-02-03 13:40:00,2019,2,February,3,Sunday,13,True,Afternoon,57.82,4.76,High,High
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2019-03-06,12:27,Credit card,158.1,4.761904762,7.905,8.6,2019-03-06 12:27:00,2019,3,March,6,Wednesday,12,False,Afternoon,16.6,4.76,Medium,High
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2019-02-14,14:35,Cash,302.96,4.761904762,15.148,7.6,2019-02-14 14:35:00,2019,2,February,14,Thursday,14,False,Afternoon,79.53,4.76,Medium,Medium
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2019-03-13,16:40,Cash,158.7,4.761904762,7.935,5.8,2019-03-13 16:40:00,2019,3,March,13,Wednesday,16,False,Afternoon,16.66,4.76,Medium,Low
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2019-02-10,15:43,Ewallet,66.94,4.761904762,3.347,6.7,2019-02-10 15:43:00,2019,2,February,10,Sunday,15,True,Afternoon,35.14,4.76,Low,Medium
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2019-01-07,15:01,Ewallet,585.66,4.761904762,29.283,9.9,2019-01-07 15:01:00,2019,1,January,7,Monday,15,False,Afternoon,102.49,4.76,High,High
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2019-01-24,10:04,Cash,787.7,4.761904762,39.385,6.4,2019-01-24 10:04:00,2019,1,January,24,Thursday,10,False,Morning,82.71,4.76,High,Medium
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2019-02-02,18:50,Cash,18.33,4.761904762,0.9165,4.3,2019-02-02 18:50:00,2019,2,February,2,Saturday,18,True,Evening,19.25,4.76,Low,Low
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-01-06,12:46,Credit card,894.8,4.761904762,44.74,9.6,2019-01-06 12:46:00,2019,1,January,6,Sunday,12,True,Afternoon,93.95,4.76,High,High
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-02-11,16:19,Cash,621.2,4.761904762,31.06,5.9,2019-02-11 16:19:00,2019,2,February,11,Monday,16,False,Afternoon,65.23,4.76,High,Low
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2019-03-05,18:17,Ewallet,145.56,4.761904762,7.278,4.0,2019-03-05 18:17:00,2019,3,March,5,Tuesday,18,False,Evening,50.95,4.76,Low,Low
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2019-03-09,18:21,Cash,455.46,4.761904762,22.773,8.7,2019-03-09 18:21:00,2019,3,March,9,Saturday,18,True,Evening,79.71,4.76,High,High
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2019-01-22,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,2019-01-22 10:55:00,2019,1,January,22,Tuesday,10,False,Morning,78.4,4.76,High,High
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04,Credit card,416.5,4.761904762,20.825,5.4,2019-01-13 17:04:00,2019,1,January,13,Sunday,17,True,Evening,43.73,4.76,High,Low
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2019-01-09,14:20,Credit card,441.36,4.761904762,22.068,8.6,2019-01-09 14:20:00,2019,1,January,9,Wednesday,14,False,Afternoon,51.49,4.76,High,High
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,180.09,4.761904762,9.0045,5.7,2019-01-12 15:48:00,2019,1,January,12,Saturday,15,True,Afternoon,21.01,4.76,Medium,Low
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2019-03-05,16:24,Ewallet,783.1,4.761904762,39.155,6.6,2019-03-05 16:24:00,2019,3,March,5,Tuesday,16,False,Afternoon,82.23,4.76,High,Medium
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2019-01-22,18:56,Cash,101.9,4.761904762,5.095,6.0,2019-01-22 18:56:00,2019,1,January,22,Tuesday,18,False,Evening,21.4,4.76,Low,Low
870-72-4431,C,Naypyitaw,Normal,Male,Health and beauty,99.19,6,29.757,624.897,2019-01-21,14:42,Credit card,595.14,4.761904762,29.757,5.5,2019-01-21 14:42:00,2019,1,January,21,Monday,14,False,Afternoon,104.15,4.76,High,Low
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2019-01-26,19:56,Ewallet,290.04,4.761904762,14.502,6.4,2019-01-26 19:56:00,2019,1,January,26,Saturday,19,True,Evening,101.51,4.76,Medium,Medium
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2019-01-23,18:37,Ewallet,154.0,4.761904762,7.7,6.6,2019-01-23 18:37:00,2019,1,January,23,Wednesday,18,False,Evening,20.21,4.76,Low,Medium
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2019-02-23,18:45,Credit card,321.44,4.761904762,16.072,8.3,2019-02-23 18:45:00,2019,2,February,23,Saturday,18,True,Evening,84.38,4.76,Medium,High
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2019-03-09,10:17,Cash,244.55,4.761904762,12.2275,6.6,2019-03-09 10:17:00,2019,3,March,9,Saturday,10,True,Morning,51.36,4.76,Medium,Medium
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2019-03-05,14:31,Ewallet,581.42,4.761904762,29.071,4.0,2019-03-05 14:31:00,2019,3,March,5,Tuesday,14,False,Afternoon,87.21,4.76,High,Low
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2019-03-25,10:23,Cash,382.6,4.761904762,19.13,9.9,2019-03-25 10:23:00,2019,3,March,25,Monday,10,False,Morning,80.35,4.76,High,High
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2019-03-27,20:35,Credit card,345.66,4.761904762,17.283,7.3,2019-03-27 20:35:00,2019,3,March,27,Wednesday,20,False,Evening,51.85,4.76,Medium,Medium
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2019-01-02,16:57,Cash,42.47,4.761904762,2.1235,5.7,2019-01-02 16:57:00,2019,1,January,2,Wednesday,16,False,Afternoon,44.59,4.76,Low,Low
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2019-02-27,17:55,Cash,461.94,4.761904762,23.097,6.1,2019-02-27 17:55:00,2019,2,February,27,Wednesday,17,False,Evening,80.84,4.76,High,Medium
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2019-01-23,10:25,Cash,189.52,4.761904762,9.476,7.1,2019-01-23 10:25:00,2019,1,January,23,Wednesday,10,False,Morning,49.75,4.76,Medium,Medium
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2019-01-26,19:54,Ewallet,448.6,4.761904762,22.43,8.2,2019-01-26 19:54:00,2019,1,January,26,Saturday,19,True,Evening,47.1,4.76,High,High
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42,Ewallet,153.86,4.761904762,7.693,5.1,2019-01-10 16:42:00,2019,1,January,10,Thursday,16,False,Afternoon,23.08,4.76,Low,Low
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2019-03-12,12:09,Credit card,579.24,4.761904762,28.962,8.6,2019-03-12 12:09:00,2019,3,March,12,Tuesday,12,False,Afternoon,67.58,4.76,High,High
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2019-02-06,20:05,Credit card,89.75,4.761904762,4.4875,6.6,2019-02-06 20:05:00,2019,2,February,6,Wednesday,20,False,Evening,94.24,4.76,Low,Medium
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2019-03-08,20:38,Ewallet,97.16,4.761904762,4.858,7.2,2019-03-08 20:38:00,2019,3,March,8,Friday,20,False,Evening,102.02,4.76,Low,Medium
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2019-03-29,10:25,Ewallet,878.7,4.761904762,43.935,5.1,2019-03-29 10:25:00,2019,3,March,29,Friday,10,False,Morning,92.26,4.76,High,Low
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2019-02-09,13:11,Cash,74.7,4.761904762,3.735,4.1,2019-02-09 13:11:00,2019,2,February,9,Saturday,13,True,Afternoon,13.07,4.76,Low,Low
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2019-03-23,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,2019-03-23 10:16:00,2019,3,March,23,Saturday,10,True,Morning,55.39,4.76,Medium,High
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-03-05,18:14,Cash,496.2,4.761904762,24.81,7.4,2019-03-05 18:14:00,2019,3,March,5,Tuesday,18,False,Evening,86.84,4.76,High,Medium
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2019-03-26,19:20,Ewallet,48.71,4.761904762,2.4355,4.1,2019-03-26 19:20:00,2019,3,March,26,Tuesday,19,False,Evening,51.15,4.76,Low,Low
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2019-03-01,13:22,Cash,706.95,4.761904762,35.3475,7.2,2019-03-01 13:22:00,2019,3,March,1,Friday,13,False,Afternoon,82.48,4.76,High,Medium
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2019-02-01,11:27,Cash,207.63,4.761904762,10.3815,4.9,2019-02-01 11:27:00,2019,2,February,1,Friday,11,False,Morning,24.22,4.76,Medium,Low
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2019-03-28,16:44,Cash,349.56,4.761904762,17.478,9.9,2019-03-28 16:44:00,2019,3,March,28,Thursday,16,False,Afternoon,61.17,4.76,Medium,High
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2019-03-19,18:19,Cash,212.45,4.761904762,10.6225,8.0,2019-03-19 18:19:00,2019,3,March,19,Tuesday,18,False,Evening,31.87,4.76,Medium,Medium
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,886.7,4.761904762,44.335,7.3,2019-01-12 14:50:00,2019,1,January,12,Saturday,14,True,Afternoon,93.1,4.76,High,Medium
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2019-01-05,20:54,Credit card,164.28,4.761904762,8.214,7.9,2019-01-05 20:54:00,2019,1,January,5,Saturday,20,True,Evening,28.75,4.76,Medium,Medium
